SIGN,DATE,TEXT
aries,2014-01-01,"Unexpected developments lead to a whole new set of possibilities as today's Capricorn New Moon activates your 10th House of Status. You're eager to take on a big challenge this year, partly because you could underestimate the amount of work that will be required to complete a project. However, if you can keep your fantasies from distorting the facts, you have an excellent chance to make your dreams come true. Reach outside the box, but don't leave your common sense behind."
taurus,2014-01-01,"Your need for adventure might become obsessive now as the Capricorn New Moon joins relentless Pluto in your 9th House of Big Ideas. No matter how much you try to relax, your current sense of urgency won't likely disappear. Instead of trying to deny your wanderlust, consider ways to satisfy your needs without turning your life upside down. For example, instead of distracting yourself with unobtainable visions of exotic travel, think about enrolling in a course of study to expand your mind."
gemini,2014-01-01,"You are quite serious today and may have a perfect opportunity to demonstrate your sound logic and emotional depth. But stay away from discussions about risky financial investments while the practical Capricorn New Moon triggers your 8th House of Shared Resources. Schemes that promise you a fast fortune should be avoided at all costs. Taking a carefully calculated risk can bring rewards beyond your wildest expectations, but you still need to work hard to receive the payoff."
cancer,2014-01-01,"A relationship that usually seems safe may test your limits today as you struggle to redefine your boundaries. The Capricorn New Moon joins passionate Pluto in your 7th House of Relationships, possibly attracting an intense person into your life. However, this individual could reflect a portion of yourself that you don't want to acknowledge. Even if you prefer to hold onto the status quo, dynamic changes are already afoot. Relinquish control and be ready to flow with the currents, wherever they may take you next."
leo,2014-01-01,"You are enthusiastic about setting new goals and you might think that nothing can distract you from your path. You may even try to start a diet today while the rest of the world is indulging in holiday feasts. You're strongly driven to clean up your act now that the Capricorn New Moon emphasizes your 6th House of Health. It's not that you want to have any less fun; it's just that you are highly motivated to improve your well-being. Your goals are admirable, but give yourself permission to enjoy the celebrations of the season, too."
virgo,2014-01-01,"You have a lot you want to do today and you're eager to get the ball rolling. The hardworking Capricorn New Moon highlights your 5th House of Self-Expression, encouraging you to show others how your creativity can add inspiration to an important project. Don't be surprised if someone likes your work so much that he or she becomes your greatest supporter. Try not to make assumptions about the roles that your allies can play. If another person wants to help, graciously accept the offer with a smile."
libra,2014-01-01,"You may be so engaged with your family today that you forget about the work-related pressures you temporarily left behind. The dutiful Capricorn New Moon falls in your 4th House of Security, requiring you to concentrate on important domestic concerns. Sidestepping an interpersonal issue isn't a viable choice because your frustration could precipitate an emotional meltdown. Thankfully, bringing secrets out into the open just might be the preventative measure you need at this time."
scorpio,2014-01-01,"Your attempts to minimize the intensity of a conversation today may be too little, too late. The Capricorn New Moon connects with shadowy Pluto in your 3rd House of Communication, obscuring the truth and complicating the issue. A recurring argument could feel like a runaway train, but you might not notice how far off the rails it's gone until you try to stop the ride. Although panic feeds doubt, deep breathing can bring you back to your center. Every word you speak resonates with more intention than you realize, so consciously replace fear with love wherever you go."
sagittarius,2014-01-01,"You might become quite upset today if someone assumes that your personal possessions are meant to be shared. The industrious Capricorn New Moon is hooking up with suspicious Pluto in your 2nd House of Resources, prompting you to overreact. You could even become hostile if what you own feels like an extension of your identity. If you can't share nicely now, then you probably shouldn't be playing with others. A simple change of attitude makes all the difference in the world."
capricorn,2014-01-01,"Your sense of power is a double-edged sword today because you could be driven by unconscious forces you don't fully understand. One way of handling this emotional intensity is to create a simple ritual that channels your intentions in a positive manner. The Capricorn New Moon joins perceptive Pluto and communicator Mercury in your sign, so write down your resolutions for the year ahead. Stating your intentions out loud helps you focus so you can begin to fulfill your dreams."
